STATE,Majority_Party
Alabama,Democratic
Alaska,Republican
Arizona,Republican
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Dist. of Col.,Democratic
Florida,Republican
Georgia,Republican
Hawaii,Democratic
Idaho,Republican
Illinois,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Republican
Kentucky,Democratic
Louisiana,Democratic
Maine,Democratic
Maryland,Republican
Massachusetts,Democratic
Michigan,Tie
Minnesota,Democratic
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Democratic
New Hampshire,Democratic
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Republican
North Dakota,Republican
Ohio,Republican
Oklahoma,Tie
Oregon,Republican
Pennsylvania,Tie
Rhode Island,Democratic
South Carolina,Tie
South Dakota,Republican
Tennessee,Tie
Texas,Republican
Utah,Republican
Vermont,Tie
Virginia,Democratic
Washington,Democratic
West Virginia,Republican
Wisconsin,Tie
Wyoming,Democratic
District of Columbia,Democratic
