STATE,TOTAL_VOTES,Democratic_Votes,Democratic_Percent,Democratic_EV,Republican_Votes,Republican_Percent,Republican_EV,Others_Votes,Others_Percent,Others_EV
Alabama,"2,123,372","729,547",34.40%,,"1,318,255",62.10%,9,"44,467",2.10%,
Alaska,"318,608","116,454",36.60%,,"163,387",51.30%,3,"18,725",5.90%,
Arizona,"2,573,165","1,161,167",45.10%,,"1,252,401",48.70%,11,"106,327",4.10%,
Arkansas,"1,130,635","380,494",33.70%,,"684,872",60.60%,6,"29,829",2.60%,
California,"14,181,595","8,753,788",61.70%,55,"4,483,810",31.60%,,"478,500",3.40%,
Colorado,"2,780,220","1,338,870",48.20%,9,"1,202,484",43.30%,,"144,121",5.20%,
Connecticut,"1,644,920","897,572",54.60%,7,"673,215",40.90%,,"48,676",3%,
Delaware,"441,590","235,603",53.40%,3,"185,127",41.90%,,"14,757",3.30%,
Dist. of Col.,"311,268","282,830",90.90%,3,"12,723",4.10%,,"4,906",1.60%,
Florida,"9,420,039","4,504,975",47.80%,,"4,617,886",49%,29,"207,043",2.20%,
Georgia,"4,092,373","1,877,963",45.90%,,"2,089,104",51%,16,"125,306",3.10%,
Hawaii,"428,937","266,891",62.20%,4,"128,847",30%,,"15,954",3.70%,
Idaho,"690,255","189,765",27.50%,,"409,055",59.30%,4,"28,331",4.10%,
Illinois,"5,536,424","3,090,729",55.80%,20,"2,146,015",38.80%,,"209,596",3.80%,
Indiana,"2,734,958","1,033,126",37.80%,,"1,557,286",56.90%,11,"133,993",4.90%,
Iowa,"1,566,031","653,669",41.70%,,"800,983",51.10%,6,"59,186",3.80%,
Kansas,"1,184,402","427,005",36.10%,,"671,018",56.70%,6,"55,406",4.70%,
Kentucky,"1,924,149","628,854",32.70%,,"1,202,971",62.50%,8,"53,752",2.80%,
Louisiana,"2,029,032","780,154",38.40%,,"1,178,638",58.10%,8,"37,978",1.90%,
Maine,"747,927","357,735",47.80%,3,"335,593",44.90%,1,"38,105",5.10%,
Maryland,"2,781,446","1,677,928",60.30%,10,"943,169",33.90%,,"79,605",2.90%,
Massachusetts,"3,325,046","1,995,196",60%,11,"1,090,893",32.80%,,"138,018",4.20%,
Michigan,"4,799,284","2,268,839",47.30%,,"2,279,543",47.50%,16,"172,136",3.60%,
Minnesota,"2,944,813","1,367,716",46.40%,10,"1,322,951",44.90%,,"112,972",3.80%,
Mississippi,"1,209,357","485,131",40.10%,,"700,714",57.90%,6,"14,435",1.20%,
Missouri,"2,808,605","1,071,068",38.10%,,"1,594,511",56.80%,10,"97,359",3.50%,
Montana,"494,526","177,709",35.90%,,"279,240",56.50%,3,"28,037",5.70%,
Nebraska,"844,227","284,494",33.70%,,"495,961",58.70%,2,"38,946",4.60%,
Nevada,"1,125,385","539,260",47.90%,6,"512,058",45.50%,,"37,384",3.30%,
New Hampshire,"744,296","348,526",46.80%,4,"345,790",46.50%,,"30,777",4.10%,
New Jersey,"3,874,046","2,148,278",55.50%,14,"1,601,933",41.40%,,"72,477",1.90%,
New Mexico,"798,318","385,234",48.30%,5,"319,666",40%,,"74,541",9.30%,
New York,"7,622,328","4,491,191",58.90%,29,"2,790,073",36.60%,,"174,951",2.30%,
North Carolina,"4,741,558","2,189,313",46.20%,,"2,362,628",49.80%,15,"130,127",2.70%,
North Dakota,"344,360","93,758",27.20%,,"216,794",63%,3,"21,434",6.20%,
Ohio,"5,496,487","2,394,164",43.60%,,"2,841,005",51.70%,18,"174,498",3.20%,
Oklahoma,"1,452,992","420,375",28.90%,,"949,136",65.30%,7,"83,481",5.70%,
Oregon,"2,001,336","1,002,106",50.10%,7,"782,403",39.10%,,"94,231",4.70%,
Pennsylvania,"6,115,402","2,926,441",47.90%,,"2,970,733",48.60%,20,"146,715",2.40%,
Rhode Island,"464,144","252,525",54.40%,4,"180,543",38.90%,,"14,746",3.20%,
South Carolina,"2,103,027","855,373",40.70%,,"1,155,389",54.90%,9,"49,204",2.30%,
South Dakota,"370,047","117,442",31.70%,,"227,701",61.50%,3,"20,845",5.60%,
Tennessee,"2,508,027","870,695",34.70%,,"1,522,925",60.70%,11,"70,397",2.80%,
Texas,"8,969,226","3,877,868",43.20%,,"4,685,047",52.20%,38,"283,492",3.20%,
Utah,"1,131,430","310,676",27.50%,,"515,231",45.50%,6,"39,608",3.50%,
Vermont,"315,067","178,573",56.70%,3,"95,369",30.30%,,"10,078",3.20%,
Virginia,"3,982,752","1,981,473",49.80%,13,"1,769,443",44.40%,,"118,274",3%,
Washington,"3,209,214","1,742,718",54.30%,12,"1,221,747",38.10%,,"160,879",5%,
West Virginia,"713,051","188,794",26.50%,,"489,371",68.60%,5,"23,004",3.20%,
Wisconsin,"2,976,150","1,382,536",46.50%,,"1,405,284",47.20%,10,"106,674",3.60%,
Wyoming,"255,849","55,973",21.90%,,"174,419",68.20%,3,"13,287",5.20%,
